"","X","Dem_state","Dem_gender","dem_ageG","Dem_edu","Dem_employment","Dem_maritalstatus","Dem_islolation","isoladult","isolkids","TstressW"
"759",759,"Morelos","Hombres","51 - 60","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",26
"760",760,"CDMX","Mujeres","41 - 50","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",15
"761",761,"San Luis Potosí","Mujeres","31 - 40","Licenciatura","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",20
"762",762,"CDMX","Hombres","41 - 50","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",25
"763",763,"Puebla","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Divorciada(o)/viuda(o)","En aislamiento","Sí","No",26
"764",764,"CDMX","Hombres","51 - 60","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",27
"765",765,"Quintana Roo","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",37
"766",766,"Yucatán","Hombres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",26
"767",767,"Jalisco","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",30
"768",768,"Morelos","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",27
"769",769,"CDMX",NA,"21 - 30","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","No",37
"770",770,"Oaxaca","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",35
"771",771,"CDMX","Hombres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",17
"772",772,"CDMX","Hombres","31 - 40","Posgrado","Auto empleo","Soltera(o)","En aislamiento","Sí","No",37
"773",773,"CDMX","Mujeres","31 - 40","Posgrado","Sin empleo","Soltera(o)","En aislamiento","Sí","No",23
"774",774,"CDMX","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",37
"775",775,"Durango","Mujeres","41 - 50","Licenciatura","Sin empleo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","Sí","Sí",26
"776",776,"Querétaro","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",28
"777",777,"Jalisco","Mujeres","31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","No","Sí",32
"778",778,"CDMX","Mujeres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",25
"779",779,"Quintana Roo","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",34
"780",780,"Michoacán","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",25
"781",781,"CDMX","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",27
"782",782,"Estado de México","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue sin cambios","Sí","No",25
"783",783,"CDMX","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","No","No",35
"784",784,"Querétaro","Mujeres","41 - 50","Licenciatura","Sin empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",18
"785",785,"Jalisco","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","Sí",17
"786",786,"CDMX","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",31
"787",787,"CDMX","Hombres","41 - 50","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí",NA,15
"788",788,"Puebla","Mujeres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",30
"789",789,"CDMX","Hombres","41 - 50","Licenciatura","Sin empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","No","Sí",30
"790",790,"CDMX","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",22
"791",791,"CDMX","Mujeres","41 - 50","Licenciatura trunca","Auto empleo","Divorciada(o)/viuda(o)","En aislamiento","No","Sí",32
"792",792,"Puebla","Mujeres","21 - 30","Licenciatura","Empleo de tiempo parcial","Soltera(o)","En aislamiento","Sí","No",41
"793",793,"CDMX","Hombres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",12
"794",794,"Oaxaca","Mujeres","21 - 30","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","Sí",30
"795",795,"Hidalgo","Mujeres","21 - 30","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",27
"796",796,"Aguascalientes","Mujeres","31 - 40","Posgrado","Estudiante","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","Sí",28
"797",797,"CDMX","Hombres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",32
"798",798,"Nuevo León","Hombres","41 - 50","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",15
"799",799,"Colima","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",18
"800",800,"Morelos","Mujeres","51 - 60","Licenciatura","Auto empleo","Divorciada(o)/viuda(o)","En aislamiento","No","No",24
"801",801,"Michoacán","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","No","Sí",29
"802",802,"Jalisco","Hombres","41 - 50","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",27
"803",803,"Puebla","Mujeres","41 - 50","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento",NA,NA,37
"804",804,"Estado de México","Hombres","31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",24
"805",805,"Veracruz","Mujeres","41 - 50","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","Sí",13
"806",806,"CDMX","Hombres","41 - 50","Licenciatura","Auto empleo","Divorciada(o)/viuda(o)","En aislamiento","No","No",25
"807",807,"Estado de México","Hombres","51 - 60","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",20
"808",808,"Estado de México","Mujeres","21 - 30","Posgrado","Estudiante","Soltera(o)","La vida sigue con cambios menores","Sí","No",18
"809",809,"CDMX","Mujeres","31 - 40","Posgrado","Empleo de tiempo parcial","Casada(o)/en unión libre","En aislamiento","Sí","Sí",29
"810",810,"Estado de México","Hombres","41 - 50","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",32
"811",811,"Jalisco","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","Sí",30
"812",812,"CDMX","Mujeres","31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",39
"813",813,"Puebla","Mujeres","51 - 60","Licenciatura","Empleo de tiempo completo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","No","No",22
"814",814,"Veracruz","Mujeres","51 - 60","Posgrado","Retirado-Jubilado","Soltera(o)","La vida sigue con cambios menores","No","No",23
"815",815,"Tabasco","Mujeres","31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",37
"816",816,"Durango","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",24
"817",817,"Estado de México","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Divorciada(o)/viuda(o)","En aislamiento","Sí","No",22
"818",818,"Estado de México","Hombres","61 - 70","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",15
"819",819,"CDMX","Mujeres","41 - 50","Licenciatura","Estudiante","Casada(o)/en unión libre","En aislamiento","Sí","Sí",31
"820",820,"CDMX","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","No","No",36
"821",821,"CDMX","Mujeres","21 - 30","Licenciatura trunca","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",35
"822",822,"Nuevo León","Mujeres","41 - 50","Licenciatura","Auto empleo","Soltera(o)","En aislamiento","Sí","No",34
"823",823,"CDMX","Mujeres","41 - 50","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",26
"824",824,"Estado de México","Hombres","20 o menos","Bachillerato ","Estudiante","Soltera(o)","En aislamiento","Sí","No",25
"825",825,"CDMX","Mujeres","21 - 30","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",39
"826",826,NA,"Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",21
"827",827,"CDMX","Hombres","31 - 40","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",35
"828",828,"Estado de México","Hombres","51 - 60","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","No","No",17
"829",829,"Estado de México","Hombres","31 - 40","Licenciatura","Sin empleo","Casada(o)/en unión libre","La vida sigue con cambios menores",NA,NA,33
"830",830,"Jalisco","Mujeres","51 - 60","Licenciatura","Auto empleo","Divorciada(o)/viuda(o)","En aislamiento","No","No",20
"831",831,"CDMX","Mujeres","21 - 30","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",41
"832",832,"Guanajuato","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",35
"833",833,"Baja California Sur","Mujeres","51 - 60","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",26
"834",834,"Jalisco","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",27
"835",835,"Colima","Mujeres","31 - 40","Licenciatura","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",16
"836",836,NA,"Hombres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",19
"837",837,"Jalisco","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","No","Sí",23
"838",838,"Guerrero","Mujeres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",46
"839",839,NA,"Mujeres","51 - 60","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",20
"840",840,"Guanajuato","Mujeres","21 - 30","Licenciatura","Empleo de tiempo parcial","Soltera(o)","En aislamiento","Sí","No",30
"841",841,"Veracruz","Mujeres","21 - 30","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",35
"842",842,"CDMX","Mujeres","31 - 40","Posgrado","Sin empleo","Soltera(o)","En aislamiento","No","No",25
"843",843,"CDMX","Mujeres","41 - 50","Licenciatura","Estudiante","Casada(o)/en unión libre","En aislamiento","Sí","No",31
"844",844,NA,"Hombres","31 - 40","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",26
"845",845,"Nuevo León","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",20
"846",846,"Aguascalientes","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",26
"847",847,"CDMX","Hombres","31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",29
"848",848,"CDMX","Hombres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",25
"849",849,"CDMX","Mujeres","31 - 40","Bachillerato ","Auto empleo","Soltera(o)","La vida sigue con cambios menores","Sí","No",27
"850",850,"CDMX","Hombres","51 - 60","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",34
"851",851,"Estado de México","Hombres","51 - 60","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",23
"852",852,"CDMX","Hombres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",26
"853",853,"CDMX","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",24
"854",854,"Estado de México","Mujeres","21 - 30","Posgrado","Empleo de tiempo parcial","Soltera(o)","En aislamiento","Sí","No",23
"855",855,"CDMX","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",18
"856",856,"CDMX","Mujeres","51 - 60","Posgrado","Empleo de tiempo parcial","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",26
"857",857,"CDMX","Hombres","31 - 40","Licenciatura","Empleo de tiempo parcial","Soltera(o)","La vida sigue con cambios menores","Sí","No",26
"858",858,"Puebla","Mujeres","20 o menos","Bachillerato ","Estudiante","Soltera(o)","En aislamiento","Sí","No",26
"859",859,"CDMX","Hombres","41 - 50","Posgrado","Auto empleo","Soltera(o)","La vida sigue con cambios menores","Sí","No",22
"860",860,"CDMX","Mujeres","21 - 30","Licenciatura","Auto empleo","Soltera(o)","La vida sigue con cambios menores","Sí","No",27
"861",861,"Jalisco","Hombres","21 - 30","Licenciatura","Estudiante","Soltera(o)","La vida sigue con cambios menores","Sí","No",39
"862",862,"Querétaro","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",39
"863",863,"Baja California","Hombres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",18
"864",864,NA,"Mujeres","31 - 40","Posgrado","Empleo de tiempo parcial","Casada(o)/en unión libre","En aislamiento","Sí","Sí",27
"865",865,"Colima","Hombres","51 - 60","Posgrado","Auto empleo","Casada(o)/en unión libre","La vida sigue sin cambios",NA,NA,23
"866",866,"CDMX","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",25
"867",867,"Morelos","Hombres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",21
"868",868,"Zacatecas","Mujeres","21 - 30","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",27
"869",869,"Jalisco","Mujeres","31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",25
"870",870,"CDMX","Hombres","51 - 60","Licenciatura","Empleo de tiempo completo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","Sí","No",26
"871",871,"Oaxaca","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores",NA,NA,32
"872",872,"Guanajuato","Mujeres","41 - 50","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","No",19
"873",873,"Estado de México","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",33
"874",874,"Veracruz","Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",27
"875",875,"CDMX","Hombres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",30
"876",876,"Jalisco","Mujeres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",32
"877",877,"CDMX","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",28
"878",878,NA,"Mujeres","41 - 50","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",38
"879",879,"Morelos",NA,"31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",22
"880",880,"CDMX","Mujeres","31 - 40","Bachillerato ","Sin empleo","Casada(o)/en unión libre","En aislamiento","No","Sí",17
"881",881,"Guerrero","Mujeres","51 - 60","Licenciatura","Sin empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",32
"882",882,"Quintana Roo","Mujeres","21 - 30","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","No",44
"883",883,"Guanajuato","Mujeres","41 - 50","Bachillerato ","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",37
"884",884,"Michoacán","Mujeres","31 - 40","Posgrado","Empleo de tiempo parcial","Casada(o)/en unión libre","En aislamiento","Sí","Sí",35
"885",885,"Estado de México","Hombres","51 - 60","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",29
"886",886,"CDMX","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",33
"887",887,"CDMX","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",27
"888",888,"Tlaxcala","Mujeres","31 - 40","Posgrado","Empleo de tiempo parcial","Soltera(o)","La vida sigue con cambios menores","Sí","No",36
"889",889,"CDMX","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Soltera(o)","En aislamiento","Sí","No",29
"890",890,"Jalisco","Hombres","31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",18
"891",891,"Querétaro","Mujeres","31 - 40","Posgrado","Empleo de tiempo parcial","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","Sí",22
"892",892,"CDMX","Mujeres","61 - 70","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",34
"893",893,"Michoacán","Hombres","21 - 30","Licenciatura trunca","Estudiante","Soltera(o)","La vida sigue con cambios menores","Sí","No",28
"894",894,"Nuevo León","Hombres","51 - 60","Posgrado","Empleo de tiempo parcial","Divorciada(o)/viuda(o)","En aislamiento","No","No",22
"895",895,"CDMX","Hombres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",24
"896",896,"CDMX","Hombres","31 - 40","Posgrado","Sin empleo","Soltera(o)","En aislamiento","Sí","No",26
"897",897,"Estado de México","Mujeres","31 - 40","Licenciatura","Sin empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","Sí",24
"898",898,"Chihuahua","Hombres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",32
"899",899,NA,"Hombres","41 - 50","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",21
"900",900,"CDMX","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",37
"901",901,"Durango","Hombres","31 - 40","Licenciatura trunca","Sin empleo","Soltera(o)","La vida sigue con cambios menores","Sí","No",28
"902",902,"Nuevo León","Mujeres","31 - 40","Licenciatura","Auto empleo","Soltera(o)","En aislamiento","Sí","No",23
"903",903,"Jalisco","Mujeres","61 - 70","Licenciatura","Empleo de tiempo completo","Divorciada(o)/viuda(o)","En aislamiento","No","No",21
"904",904,"CDMX","Mujeres","20 o menos","Licenciatura trunca","Estudiante","Soltera(o)","En aislamiento","Sí","No",44
"905",905,"Chiapas","Mujeres","21 - 30","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","Sí","No",31
"906",906,"Estado de México","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",35
"907",907,"Chihuahua","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Divorciada(o)/viuda(o)","En aislamiento","No","No",15
"908",908,"Jalisco","Mujeres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",31
"909",909,"Michoacán","Mujeres","41 - 50","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",26
"910",910,"Veracruz","Mujeres","61 - 70","Posgrado","Retirado-Jubilado","Soltera(o)","La vida sigue con cambios menores",NA,NA,17
"911",911,NA,"Hombres","51 - 60","Licenciatura","Retirado-Jubilado","Casada(o)/en unión libre","En aislamiento","Sí","No",25
"912",912,"Durango","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",34
"913",913,"CDMX","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","Sí",22
"914",914,"CDMX","Mujeres","51 - 60","Licenciatura","Auto empleo","Soltera(o)","La vida sigue con cambios menores","Sí","No",36
"915",915,"Jalisco","Hombres","31 - 40","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",29
"916",916,"Yucatán","Mujeres","41 - 50","Licenciatura trunca","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",23
"917",917,"Oaxaca","Mujeres","21 - 30","Licenciatura","Empleo de tiempo parcial","Soltera(o)","En aislamiento","Sí","No",32
"918",918,"Chihuahua","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",28
"919",919,"Quintana Roo","Mujeres","41 - 50","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",35
"920",920,"CDMX","Mujeres","51 - 60","Licenciatura","Empleo de tiempo completo","Divorciada(o)/viuda(o)","En aislamiento","No","No",15
"921",921,"Jalisco","Mujeres","41 - 50","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",13
"922",922,"CDMX","Mujeres","31 - 40","Licenciatura","Auto empleo","Divorciada(o)/viuda(o)","En aislamiento","Sí","Sí",24
"923",923,"CDMX","Mujeres","41 - 50","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",24
"924",924,"Estado de México","Mujeres","21 - 30","Licenciatura","Auto empleo","Soltera(o)","En aislamiento","Sí","No",28
"925",925,"Estado de México","Mujeres","41 - 50","Licenciatura","Sin empleo","Soltera(o)","En aislamiento","Sí","No",33
"926",926,"Guanajuato","Mujeres","41 - 50","Licenciatura","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","No","No",21
"927",927,"CDMX","Hombres","51 - 60","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","No","No",21
"928",928,"CDMX","Mujeres","31 - 40","Ninguna","Empleo de tiempo completo","Soltera(o)","En aislamiento en unidad médica o similar","Sí","No",27
"929",929,"Oaxaca","Mujeres","21 - 30","Posgrado","Estudiante","Casada(o)/en unión libre","En aislamiento","Sí","No",24
"930",930,"Nuevo León","Mujeres","51 - 60","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",20
"931",931,"Nuevo León","Hombres","31 - 40","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",23
"932",932,"Jalisco","Mujeres","41 - 50","Posgrado","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",23
"933",933,"Veracruz","Mujeres","41 - 50","Licenciatura","Empleo de tiempo parcial","Casada(o)/en unión libre","En aislamiento","Sí","Sí",32
"934",934,NA,"Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",25
"935",935,"CDMX","Hombres","51 - 60","Licenciatura","Empleo de tiempo completo","Soltera(o)","En aislamiento","No","No",28
"936",936,"Puebla","Mujeres","41 - 50","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",29
"937",937,"CDMX","Hombres","21 - 30","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",31
"938",938,"Chiapas","Mujeres","51 - 60","Licenciatura","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",33
"939",939,"CDMX","Hombres","31 - 40","Licenciatura trunca","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",14
"940",940,"Estado de México","Mujeres","51 - 60","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",27
"941",941,"CDMX","Mujeres","31 - 40","Licenciatura trunca","Auto empleo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",20
"942",942,"CDMX","Hombres","21 - 30","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",23
"943",943,"Michoacán","Hombres","21 - 30","Licenciatura","Estudiante","Soltera(o)","La vida sigue con cambios menores","Sí","No",27
"944",944,"San Luis Potosí","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Soltera(o)","La vida sigue con cambios menores","No","No",26
"945",945,"Michoacán","Mujeres","21 - 30","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",32
"946",946,"Jalisco","Mujeres","51 - 60","Licenciatura","Retirado-Jubilado","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","Sí","Sí",19
"947",947,"Estado de México","Mujeres","31 - 40","Licenciatura","Empleo de tiempo completo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","No","No",22
"948",948,NA,"Mujeres","51 - 60","Bachillerato ","Sin empleo","Casada(o)/en unión libre","La vida sigue sin cambios",NA,NA,23
"949",949,"CDMX","Mujeres","41 - 50","Posgrado","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",12
"950",950,"Morelos","Mujeres","51 - 60","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",25
"951",951,"Colima","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",22
"952",952,"Michoacán","Hombres","31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",32
"953",953,"Puebla","Mujeres","41 - 50","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",22
"954",954,"Aguascalientes","Hombres","21 - 30","Posgrado","Auto empleo","Soltera(o)","En aislamiento","Sí","No",27
"955",955,"CDMX","Hombres","31 - 40","Licenciatura trunca","Sin empleo","Casada(o)/en unión libre","En aislamiento","Sí","Sí",20
"956",956,"CDMX","Mujeres","31 - 40","Posgrado","Empleo de tiempo completo","Casada(o)/en unión libre","La vida sigue con cambios menores","Sí","No",32
"957",957,"Jalisco","Hombres","31 - 40","Licenciatura","Auto empleo","Casada(o)/en unión libre","En aislamiento","Sí","No",30
"958",958,"CDMX","Mujeres","21 - 30","Licenciatura trunca","Estudiante","Soltera(o)","En aislamiento","No","No",31
"959",959,"Sonora","Hombres","51 - 60","Posgrado","Empleo de tiempo completo","Divorciada(o)/viuda(o)","La vida sigue con cambios menores","Sí","No",23
"960",960,"Chihuahua","Hombres","20 o menos","Licenciatura","Estudiante","Soltera(o)","En aislamiento","Sí","No",29
"961",961,"Estado de México","Mujeres","20 o menos","Licenciatura","Empleo de tiempo parcial","Soltera(o)","La vida sigue sin cambios","Sí","Sí",24
"962",962,"CDMX","Mujeres","51 - 60","Licenciatura","Empleo de tiempo completo","Casada(o)/en unión libre","En aislamiento","Sí","No",28
